"species","in_M","in_L","in_D","in_C","n_spaces","category","excl_space"
"1409",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4485",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3433",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"6838",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"5775",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3405",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1696",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"684",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1768",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3407",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4647",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"688",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"70",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4455",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2132",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"630",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3032",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"634",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2112",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"4691",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3193",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5230",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7246",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4690",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5574",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7657",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5074",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5579",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2113",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1283",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"447",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1691",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3139",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"3951",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1024",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3141",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7227",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"451",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2129",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1440",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1443",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"632",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"984",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3949",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"4599",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7080",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1657",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1318",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"6053",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2082",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"5443",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"690",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"4595",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1316",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4872",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"633",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7225",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"691",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"448",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"412",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"7622",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1002",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4954",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"413",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"1651",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"636",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"452",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1050",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"2080",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"5673",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"6912",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"985",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5578",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"6055",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3955",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"637",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"6054",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5071",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7395",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7226",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2474",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"446",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2804",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1769",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5070",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4486",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3956",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2130",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7396",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1442",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3258",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3598",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7398",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"454",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3411",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1559",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5577",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"5665",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1387",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"5773",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5662",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7377",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1444",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"2006",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"3939",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3259",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7707",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"1057",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1006",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1153",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1560",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3933",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"6256",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"3952",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7706",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"3260",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4160",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1059",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"5438",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"6057",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"6429",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"6695",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4598",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3196",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"5575",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"5699",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"5677",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7397",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7078",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1640",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"6694",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"1699",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"449",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1023",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"4144",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1070",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2816",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
